,Year,quarter,ukos,mode,country,purpose,package,Age,Sex,duration,visits,nights,expend,sample
0,2022,2,1,1,10,1,1,1,2,2,1216.922,4867.687,578037.819,1
1,2022,2,1,1,10,1,1,2,1,1,940.625,2821.874,188124.928,1
2,2022,2,1,1,10,1,1,2,1,2,6044.895,36510.253,4621624.177,5
3,2022,2,1,1,10,1,1,2,2,1,1102.325,3306.974,220464.93,1
4,2022,2,1,1,10,1,1,2,2,2,4353.722,17414.889,1158992.28,3
5,2022,2,1,1,10,1,1,3,1,1,5115.637,13927.476,2486846.726,2
6,2022,2,1,1,10,1,1,3,1,2,4490.989,24580.210,2867257.256,3
7,2022,2,1,1,10,1,1,3,1,3,866.581,12132.135,747859.471,1
8,2022,2,1,1,10,1,1,3,2,1,3409.521,10228.562,2002064.012,2
9,2022,2,1,1,10,1,1,3,2,2,2327.777,16294.441,2372005.101,2
10,2022,2,1,1,10,1,1,4,1,1,3892.677,11678.030,1621459.437,3
11,2022,2,1,1,10,1,1,4,1,2,4408.160,31294.537,8499947.232,4
12,2022,2,1,1,10,1,1,4,2,1,1419.435,4258.306,638745.866,1
13,2022,2,1,1,10,1,1,4,2,2,5286.092,32426.015,2804182.093,5
14,2022,2,1,1,10,1,1,5,1,1,953.297,2859.891,476648.561,1
15,2022,2,1,1,10,1,1,5,1,2,1905.619,13339.331,1924566.968,2
16,2022,2,1,1,10,1,1,5,2,1,3696.202,11088.605,924050.43,1
17,2022,2,1,1,10,1,1,5,2,2,7609.377,51296.384,15084470.805,7
18,2022,2,1,1,10,1,1,6,1,2,5661.079,39627.553,6430711.258,3
19,2022,2,1,1,10,1,1,6,2,1,347.899,1043.696,101238.554,1
20,2022,2,1,1,10,1,1,6,2,2,1216.922,8518.452,1240043.238,1
21,2022,2,1,1,10,1,1,7,1,2,1216.922,6084.609,456345.647,1
22,2022,2,1,1,10,1,1,7,1,3,953.297,13346.160,309821.564,1
23,2022,2,1,1,10,1,1,7,1,4,1056.535,33809.126,528267.594,1
24,2022,2,1,1,10,1,1,7,2,1,866.581,2599.743,441956.35,1
25,2022,2,1,1,10,1,1,7,2,2,1068.892,9620.025,615681.584,1
26,2022,2,1,1,10,1,1,9,1,3,437.418,6123.847,377491.437,1
27,2022,2,1,1,10,1,2,1,2,2,1056.535,7395.746,1806675.172,1
28,2022,2,1,1,10,1,2,2,1,2,1774.923,10691.300,2432457.683,2
29,2022,2,1,1,10,1,2,3,2,2,2518.760,17631.323,2358300.497,2
30,2022,2,1,1,10,1,2,4,1,2,2277.637,15943.462,4205263.883,2
31,2022,2,1,1,10,1,2,5,1,2,796.009,5572.060,1127148.223,1
32,2022,2,1,1,10,1,2,5,2,1,953.297,2859.891,62917.61,1
33,2022,2,1,1,10,1,2,6,1,2,2365.725,11828.627,2413039.939,1
34,2022,2,1,1,10,1,2,6,2,2,3185.979,22301.856,3918714.056,3
35,2022,2,1,1,10,1,2,7,1,2,1704.351,11930.455,2864350.819,2
36,2022,2,1,1,10,1,2,7,1,3,1481.629,20742.803,1278645.622,1
37,2022,2,1,1,10,1,2,7,2,2,2698.550,18889.853,2528964.607,2
38,2022,2,1,1,10,1,2,9,2,1,531.201,1593.604,250195.816,1
39,2022,2,1,1,10,2,1,2,2,2,1404.163,18254.124,70208.167,1
40,2022,2,1,1,10,2,1,3,1,1,1681.974,5045.923,2216769.258,2
41,2022,2,1,1,10,2,1,4,1,1,1244.557,3733.670,746734.053,1
42,2022,2,1,1,10,2,1,4,1,2,2462.220,13040.160,2912250.83,2
43,2022,2,1,1,10,2,2,6,1,2,402.425,4024.252,678891.369,1
44,2022,2,1,1,10,3,1,2,2,4,577.394,21363.561,1597070.516,1
45,2022,2,1,1,10,4,1,2,2,1,922.482,2767.445,123612.552,1
46,2022,2,1,1,10,4,1,2,2,2,1102.325,4409.299,648166.895,1
47,2022,2,1,1,10,4,1,2,2,3,2365.725,42583.058,42583.058,1
48,2022,2,1,1,10,4,1,3,1,0,1419.435,0.000,283887.052,1
49,2022,2,1,1,10,4,1,3,1,1,2033.057,6099.171,689699.033,2
50,2022,2,1,1,10,4,1,3,2,1,953.297,2859.891,26692.319,1
51,2022,2,1,1,10,4,1,3,2,2,1303.999,6528.248,109354.414,2
52,2022,2,1,1,10,4,1,3,2,3,3422.261,67136.022,105653.519,2
53,2022,2,1,1,10,4,1,4,2,1,866.581,1733.162,129987.162,1
54,2022,2,1,1,10,4,1,4,2,2,2922.203,17446.501,776320.222,3
55,2022,2,1,1,10,4,1,5,1,2,4813.942,42987.133,2495342.952,5
56,2022,2,1,1,10,4,1,5,2,2,3451.196,28889.819,754251.869,2
57,2022,2,1,1,10,4,1,6,2,1,531.201,1593.604,159360.393,1
58,2022,2,1,1,10,4,1,6,2,2,2531.941,14314.047,1607247.677,3
59,2022,2,1,1,10,4,1,7,1,2,1419.435,9936.047,1180970.135,1
60,2022,2,1,1,10,4,1,7,2,2,2758.942,23094.075,794151.708,4
61,2022,2,1,1,10,5,1,4,2,2,1056.535,9508.817,351826.218,1
62,2022,2,1,1,10,5,1,5,1,4,437.418,13559.947,8748353.114,1
63,2022,2,1,1,10,5,1,6,2,2,561.400,5614.000,1048695.292,1
64,2022,2,1,1,11,1,1,2,1,1,922.482,2767.445,276744.52,1
65,2022,2,1,1,11,1,1,2,2,1,2946.960,7887.582,802530.756,2
66,2022,2,1,1,11,1,1,2,2,2,1993.662,7974.650,249207.807,1
67,2022,2,1,1,11,1,1,3,1,1,4057.135,8675.670,1052845.979,3
68,2022,2,1,1,11,1,1,3,1,2,1990.429,10821.606,1463479.484,2
69,2022,2,1,1,11,1,1,3,2,1,866.581,2599.743,365697.215,1
70,2022,2,1,1,11,1,1,3,2,2,2916.144,13658.239,1631520.729,2
71,2022,2,1,1,11,1,1,4,1,1,1244.557,3733.670,248911.351,1
72,2022,2,1,1,11,1,1,4,2,2,458.437,1833.748,106815.827,1
73,2022,2,1,1,11,1,1,5,1,1,1906.594,4766.486,735945.378,2
74,2022,2,1,1,11,1,1,5,2,1,825.189,2475.568,309445.944,1
75,2022,2,1,1,11,1,1,5,2,2,2899.452,21333.299,1723169.255,3
76,2022,2,1,1,11,1,1,9,9,2,1481.629,10371.401,1250494.676,1
77,2022,2,1,1,11,1,2,2,1,1,1481.629,4444.886,499308.893,1
78,2022,2,1,1,11,1,2,6,1,2,940.625,6584.372,1191771.421,1
79,2022,2,1,1,11,2,1,3,1,1,1085.470,2170.940,108547.007,1
80,2022,2,1,1,11,2,1,4,1,1,1498.764,2997.529,524567.547,2
81,2022,2,1,1,11,2,1,4,2,1,542.735,1085.470,271367.519,1
82,2022,2,1,1,11,2,1,5,1,1,2888.499,5878.566,1314099.63,4
83,2022,2,1,1,11,2,1,6,2,1,454.171,454.171,186210.125,1
84,2022,2,1,1,11,2,1,9,2,1,1037.132,2074.263,540345.578,1
85,2022,2,1,1,11,2,2,3,2,2,454.171,2270.855,190751.835,1
86,2022,2,1,1,11,4,1,2,1,2,1613.738,8039.753,124598.403,2
87,2022,2,1,1,11,4,1,2,1,3,454.171,8629.250,550909.467,1
88,2022,2,1,1,11,4,1,3,1,1,1481.629,2963.258,74081.438,1
89,2022,2,1,1,11,4,1,3,1,2,922.482,6457.372,202945.981,1
90,2022,2,1,1,11,4,1,3,2,1,866.581,2599.743,71926.23,1
91,2022,2,1,1,11,4,1,5,2,2,3367.158,18287.774,644040.192,3
92,2022,2,1,1,11,4,1,6,2,2,454.171,1816.684,90834.207,1
93,2022,2,1,1,11,4,1,7,1,1,953.297,2859.891,23832.428,1
94,2022,2,1,1,11,4,1,7,2,1,825.189,2475.568,151834.81,1
